All, 
Windows 3.1,  
Windows 95, 
Windows 98, 
Windows ME, 
Windows 2000, 
Windows NT, 
Windows XP, 
Windows Server 2003, 
Mac System 7, 
Mac System 7.5, 
Mac System 7.6.1, 
Mac System 8.0, 
Mac System 8.5, 
Mac System 8.6, 
Mac System 9.x, 
Mac OS X 10.0, 
Mac OS X 10.1, 
Mac OS X 10.2, 
Mac OS X 10.3, 
Linux, 
BSD/OS, 
FreeBSD, 
NetBSD, 
OpenBSD, 
AIX, 
BeOS, 
HP-UX, 
IRIX, 
Neutrino, 
OpenVMS, 
OS/2, 
OSF/1, 
Solaris, 
SunOS, 
other, 
